system,section_heading,item_label,hex,css_var,token_ref,description_first_keywords,description
linear.app,Brand & Accent,Accent Hover,#828fff,,,lighter more saturated,"Lighter, more saturated variant for hover states on accent elements."
linear.app,Brand & Accent,Security Lavender,#7a7fad,,,muted indigo used,Muted indigo used specifically for security-related UI elements.
linear.app,Status Colors,Green,#27a644,,,primary success active,"Primary success/active status. Used for ""in progress"" indicators."
linear.app,Status Colors,Emerald,#10b981,,,secondary success pill,"Secondary success — pill badges, completion states."
linear.app,Border & Divider,Border Primary,#23252a,,,solid dark border,Solid dark border for prominent separations.
linear.app,Border & Divider,Border Secondary,#34343a,,,slightly lighter solid,Slightly lighter solid border.
linear.app,Border & Divider,Border Tertiary,#3e3e44,,,lightest solid border,Lightest solid border variant.
linear.app,Border & Divider,Border Subtle,,,,ultra-subtle semi-transparent border,Ultra-subtle semi-transparent border — the default.
linear.app,Border & Divider,Border Standard,,,,standard semi-transparent border,"Standard semi-transparent border for cards, inputs, code blocks."
linear.app,Border & Divider,Line Tint,#141516,,,nearly invisible line,Nearly invisible line for the subtlest divisions.
linear.app,Border & Divider,Line Tertiary,#18191a,,,slightly more visible,Slightly more visible divider line.
linear.app,Light Mode Neutrals (for light theme contexts),Light Background,#f7f8f8,,,page background light,Page background in light mode.
linear.app,Light Mode Neutrals (for light theme contexts),Light Surface,#f3f4f5,,,subtle surface tinting,Subtle surface tinting.
linear.app,Light Mode Neutrals (for light theme contexts),Light Border,#d0d6e0,,,visible border light,Visible border in light contexts.
linear.app,Light Mode Neutrals (for light theme contexts),Light Border Alt,#e6e6e6,,,alternative lighter border,Alternative lighter border.
linear.app,Light Mode Neutrals (for light theme contexts),Pure White,#ffffff,,,card surfaces highlights,"Card surfaces, highlights."
linear.app,Overlay,Overlay Primary,,,,modal dialog backdrop,Modal/dialog backdrop — extremely dark for focus isolation.
lovable,Primary,Cream,#f7f4ed,,,page background card,"Page background, card surfaces, button surfaces. The foundation — warm, paper-like, human."
lovable,Primary,Charcoal,#1c1c1c,,,primary text headings,"Primary text, headings, dark button backgrounds. Not pure black — organic warmth."
lovable,Primary,Off-White,#fcfbf8,,,button text dark,"Button text on dark backgrounds, subtle highlight. Barely distinguishable from pure white."
lovable,Neutral Scale (Opacity-Based),Charcoal 100%,#1c1c1c,,,primary text headings,"Primary text, headings, dark surfaces."
lovable,Neutral Scale (Opacity-Based),Charcoal 83%,,,,strong secondary text,Strong secondary text.
lovable,Neutral Scale (Opacity-Based),Charcoal 82%,,,,body copy,Body copy.
lovable,Neutral Scale (Opacity-Based),Muted Gray,#5f5f5d,,,secondary text descriptions,"Secondary text, descriptions, captions."
lovable,Neutral Scale (Opacity-Based),Charcoal 40%,,,,interactive borders button,"Interactive borders, button outlines."
lovable,Neutral Scale (Opacity-Based),Charcoal 4%,,,,subtle hover backgrounds,"Subtle hover backgrounds, micro-tints."
lovable,Neutral Scale (Opacity-Based),Charcoal 3%,,,,barely-visible overlays background,"Barely-visible overlays, background depth."
lovable,Surface & Border,Light Cream,#eceae4,,,card borders dividers,"Card borders, dividers, image outlines. The warm divider line."
lovable,Surface & Border,Cream Surface,#f7f4ed,,,card backgrounds section,"Card backgrounds, section fills — same as page background for seamless integration."
lovable,Interactive,Ring Blue,#3b82f6,--tw-ring-color,,tailwind focus ring,"`--tw-ring-color`, Tailwind focus ring."
lovable,Interactive,Focus Shadow,,,,focus active state,"Focus and active state shadow — soft, warm, diffused."
lovable,Inset Shadows,Button Inset,,,,signature multi-layer inset,The signature multi-layer inset shadow on dark buttons.
minimax,Brand Primary,Brand Blue,#1456f0,--brand-6,,primary brand identity,"`--brand-6`, primary brand identity color"
minimax,Brand Primary,Sky Blue,#3daeff,--col-brand00,,lighter brand variant,"`--col-brand00`, lighter brand variant for accents"
minimax,Brand Primary,Brand Pink,#ea5ec1,--col-brand02,,secondary brand accent,"`--col-brand02`, secondary brand accent"
minimax,Blue Scale (Primary),Primary 200,#bfdbfe,--color-primary-200,,light blue backgrounds,"`--color-primary-200`, light blue backgrounds"
minimax,Blue Scale (Primary),Primary Light,#60a5fa,--color-primary-light,,active states highlights,"`--color-primary-light`, active states, highlights"
minimax,Blue Scale (Primary),Primary 500,#3b82f6,--color-primary-500,,standard blue actions,"`--color-primary-500`, standard blue actions"
minimax,Blue Scale (Primary),Primary 600,#2563eb,--color-primary-600,,hover states,"`--color-primary-600`, hover states"
minimax,Blue Scale (Primary),Primary 700,#1d4ed8,--color-primary-700,,pressed active states,"`--color-primary-700`, pressed/active states"
minimax,Blue Scale (Primary),Brand Deep,#17437d,--brand-3,,deep blue emphasis,"`--brand-3`, deep blue for emphasis"
minimax,Text Colors,Near Black,#222222,--col-text00,,primary text,"`--col-text00`, primary text"
minimax,Text Colors,Dark,#18181b,,,button text headings,"Button text, headings"
minimax,Text Colors,Charcoal,#181e25,,,dark surface text,"Dark surface text, footer background"
minimax,Text Colors,Dark Gray,#45515e,--col-text04,,secondary text,"`--col-text04`, secondary text"
minimax,Text Colors,Mid Gray,#8e8e93,,,tertiary text muted,"Tertiary text, muted labels"
minimax,Text Colors,Light Gray,#5f5f5f,--brand-2,,helper text,"`--brand-2`, helper text"
minimax,Surface & Background,Pure White,#ffffff,--col-bg13,,primary background,"`--col-bg13`, primary background"
minimax,Surface & Background,Light Gray,#f0f0f0,,,secondary button backgrounds,Secondary button backgrounds
minimax,Surface & Background,Glass White,,--fill-bg-white,,frosted glass overlay,"`--fill-bg-white`, frosted glass overlay"
minimax,Surface & Background,Border Light,#f2f3f5,,,subtle section dividers,Subtle section dividers
minimax,Surface & Background,Border Gray,#e5e7eb,,,component borders,Component borders
minimax,Semantic,Success Background,#e8ffea,--success-bg,,positive state backgrounds,"`--success-bg`, positive state backgrounds"
minimax,Shadows,Standard,,,,default card shadow,Default card shadow
minimax,Shadows,Soft Glow,,,,ambient soft shadow,Ambient soft shadow
minimax,Shadows,Brand Purple,,,,brand-tinted glow,Brand-tinted glow
minimax,Shadows,Brand Purple Offset,,,,directional brand glow,Directional brand glow
minimax,Shadows,Card Elevation,,,,lifted card shadow,Lifted card shadow
mintlify,Primary,Near Black,#0d0d0d,,,primary text headings,"Primary text, headings, dark surfaces. Not pure black — the micro-softness improves reading comfort."
mintlify,Primary,Pure White,#ffffff,,,page background card,"Page background, card surfaces, input backgrounds."
mintlify,Primary,Brand Green,#18e299,,,signature accent ctas,"The signature accent — CTAs, links on hover, focus rings, brand identity."
mintlify,Secondary Accents,Brand Green Light,#d4fae8,,,tinted green surface,"Tinted green surface for badges, hover states, subtle backgrounds."
mintlify,Secondary Accents,Brand Green Deep,#0fa76e,,,darker green text,"Darker green for text on light-green badges, hover states on brand elements."
mintlify,Secondary Accents,Warm Amber,#c37d0d,--twoslash-warn-bg,,warning states caution,"Warning states, caution badges — `--twoslash-warn-bg`."
mintlify,Secondary Accents,Soft Blue,#3772cf,--twoslash-tag-bg,,tag backgrounds informational,"Tag backgrounds, informational annotations — `--twoslash-tag-bg`."
mintlify,Secondary Accents,Error Red,#d45656,--twoslash-error-bg,,error states destructive,"Error states, destructive actions — `--twoslash-error-bg`."
mintlify,Neutral Scale,Gray 900,#0d0d0d,,,primary heading text,"Primary heading text, nav links."
mintlify,Neutral Scale,Gray 700,#333333,,,secondary text descriptions,"Secondary text, descriptions, body copy."
mintlify,Neutral Scale,Gray 500,#666666,,,tertiary text muted,"Tertiary text, muted labels."
mintlify,Neutral Scale,Gray 400,#888888,,,placeholder text disabled,"Placeholder text, disabled states, code annotations."
mintlify,Neutral Scale,Gray 200,#e5e5e5,,,borders dividers card,"Borders, dividers, card outlines."
mintlify,Neutral Scale,Gray 100,#f5f5f5,,,subtle surface backgrounds,"Subtle surface backgrounds, hover states."
mintlify,Neutral Scale,Gray 50,#fafafa,,,near-white surface tint,Near-white surface tint.
mintlify,Interactive,Link Default,#0d0d0d,,,links match text,"Links match text color, relying on underline/context."
mintlify,Interactive,Link Hover,#18e299,--color-brand,,brand green hover,Brand green on hover — `var(--color-brand)`.
mintlify,Interactive,Focus Ring,#18e299,,,brand green focus,Brand green focus outline for inputs and interactive elements.
mintlify,Surface & Overlay,Card Background,#ffffff,,,white cards white,"White cards on white background, separated by borders."
mintlify,Surface & Overlay,Border Subtle,,,,black opacity borders,5% black opacity borders — the primary separation mechanism.
mintlify,Surface & Overlay,Border Medium,,,,slightly stronger borders,Slightly stronger borders for interactive elements.
mintlify,Surface & Overlay,Input Border Focus,,--color-brand,,green ring focused,Green ring on focused inputs.
mintlify,Shadows & Depth,Card Shadow,,,,barely-there ambient shadow,Barely-there ambient shadow for subtle lift.
mintlify,Shadows & Depth,Button Shadow,,,,micro-shadow button depth,Micro-shadow for button depth.
mintlify,Shadows & Depth,No heavy shadows,,,,mintlify relies borders,"Mintlify relies on borders, not shadows, for depth."
miro,Primary,Near Black,#1c1c1e,,,primary text,Primary text
miro,Primary,White,#ffffff,--tw-color-white,,primary surface,"`--tw-color-white`, primary surface"
miro,Primary,Blue 450,#5b76fe,--tw-color-blue-450,,primary interactive,"`--tw-color-blue-450`, primary interactive"
miro,Primary,Actionable Pressed,#2a41b6,--tw-color-actionable-pressed,,,`--tw-color-actionable-pressed`
miro,Pastel Accents (Light/Dark pairs),Coral,#ffc6c6,,,light dark,Light `#ffc6c6` / Dark `#600000`
miro,Pastel Accents (Light/Dark pairs),Rose,#ffd8f4,,,light dark implied,Light `#ffd8f4` / Dark (implied)
miro,Pastel Accents (Light/Dark pairs),Teal,#c3faf5,,,light dark,Light `#c3faf5` / Dark `#187574`
miro,Pastel Accents (Light/Dark pairs),Orange,#ffe6cd,,,light,Light `#ffe6cd`
miro,Pastel Accents (Light/Dark pairs),Yellow,#746019,,,dark,Dark `#746019`
miro,Pastel Accents (Light/Dark pairs),Moss,#187574,,,dark,Dark `#187574`
miro,Pastel Accents (Light/Dark pairs),Pink,#fde0f0,,,soft pink surface,Soft pink surface
miro,Pastel Accents (Light/Dark pairs),Red,#fbd4d4,,,light red surface,Light red surface
miro,Pastel Accents (Light/Dark pairs),Dark Red,#e3c5c5,,,muted red,Muted red
miro,Semantic,Success,#00b473,--tw-color-success-accent,,,`--tw-color-success-accent`
miro,Neutral,Slate,#555a6a,,,secondary text,Secondary text
miro,Neutral,Input Placeholder,#a5a8b5,--tw-color-input-placeholder,,,`--tw-color-input-placeholder`
miro,Neutral,Border,#c7cad5,,,button borders,Button borders
miro,Neutral,Ring,,,,shadow-as-border,Shadow-as-border
mistral.ai,Primary,Mistral Orange,#fa520f,,,core brand color,"The core brand color — a vivid, saturated orange-red that anchors the entire identity. Used for primary emphasis, the brand block, and the highest-signal moments."
mistral.ai,Primary,Mistral Flame,#fb6424,,,slightly warmer lighter,"A slightly warmer, lighter variant of the brand orange used for secondary brand moments and hover states."
mistral.ai,Primary,Block Orange,#ff8105,,,pure orange used,A pure orange used in the gradient block system — warmer and less red than Mistral Orange.
mistral.ai,Secondary & Accent,Sunshine 900,#ff8a00,,,deep golden amber,"Deep golden amber — the darkest sunshine tone, used for strong accent moments."
mistral.ai,Secondary & Accent,Sunshine 700,#ffa110,,,warm amber-gold core,Warm amber-gold — the core sunshine accent for backgrounds and interactive elements.
mistral.ai,Secondary & Accent,Sunshine 500,#ffb83e,,,medium golden balanced,Medium golden — balanced warmth for mid-level emphasis.
mistral.ai,Secondary & Accent,Sunshine 300,#ffd06a,,,light golden subtle,Light golden — for subtle warm tints and secondary backgrounds.
mistral.ai,Secondary & Accent,Block Gold,#ffe295,,,pale gold soft,Pale gold — soft background accents and gentle warmth.
mistral.ai,Secondary & Accent,Bright Yellow,#ffd900,,,brightest tone gradient,"The brightest tone in the gradient — used at the ""top"" of the block identity."
mistral.ai,Surface & Background,Warm Ivory,#fffaeb,,,lightest page background,"The lightest page background — barely tinted with warmth, the foundation canvas."
mistral.ai,Surface & Background,Cream,#fff0c2,,,primary warm surface,The primary warm surface and secondary button background — noticeably golden.
mistral.ai,Surface & Background,Pure White,#ffffff,,,used maximum contrast,Used for maximum contrast elements and popover surfaces.
mistral.ai,Surface & Background,Mistral Black,#1f1f1f,,,primary dark surface,"The primary dark surface for buttons, text, and dark sections."
mistral.ai,Surface & Background,Accent Orange,,,,functional accent color,The functional accent color for interactive states.
mistral.ai,Neutrals & Text,Mistral Black,#1f1f1f,,,primary text color,Primary text color and dark button backgrounds — a near-black that's warmer than pure #000.
mistral.ai,Neutrals & Text,Black Tint,,,,medium dark gray,A medium dark gray for secondary text on light backgrounds.
mistral.ai,Neutrals & Text,Pure White,#ffffff,,,text dark surfaces,Text on dark surfaces and CTA labels.
mistral.ai,Semantic & Accent,Input Border,,,,cool-tinted light gray,A cool-tinted light gray for form borders — one of the few cool tones in the system.
mistral.ai,Semantic & Accent,White Overlay,,,,semi-transparent white frosted,Semi-transparent white for frosted glass effects and button overlays.
mistral.ai,Gradient System,Mistral Block Gradient,#ffd900,,,signature identity multi-step,"The signature identity — a multi-step gradient flowing through Yellow (`#ffd900`) → Gold (`#ffe295`) → Amber (`#ffa110`) → Orange (`#ff8105`) → Flame (`#fb6424`) → Mistral Orange (`#fa520f`). This gradient appears in the logo blocks, section backgrounds, and decorative elements."
mistral.ai,Gradient System,Golden Landscape Wash,,,,photography backgrounds use,Photography and backgrounds use warm amber overlays creating a consistent golden temperature across the page.
mistral.ai,Gradient System,Warm Shadow Cascade,,,,multi-layered golden shadows,Multi-layered golden shadows that build depth with amber-tinted transparency rather than gray.
mongodb,Primary Brand,Forest Black,#001e2b,,,primary dark background,Primary dark background — the deepest teal-black
mongodb,Primary Brand,MongoDB Green,#00ed64,,,primary brand accent,"Primary brand accent — neon green for highlights, underlines, gradients"
mongodb,Primary Brand,Dark Green,#00684a,,,button borders link,"Button borders, link text on light — muted green for functional use"
mongodb,Interactive,Action Blue,#006cfa,,,secondary accent links,"Secondary accent — links, interactive highlights"
mongodb,Interactive,Hover Blue,#3860be,,,link hover states,All link hover states transition to this blue
mongodb,Interactive,Teal Active,#1eaedb,,,button hover background,Button hover background — bright teal
mongodb,Neutral Scale,Deep Teal,#1c2d38,,,dark button backgrounds,"Dark button backgrounds, secondary dark surfaces"
mongodb,Neutral Scale,Teal Gray,#3d4f58,,,dark borders dark,Dark borders on dark surfaces
mongodb,Neutral Scale,Dark Slate,#21313c,,,dark link text,Dark link text variant
mongodb,Neutral Scale,Cool Gray,#5c6c75,,,muted text dark,"Muted text on dark, secondary button text"
mongodb,Neutral Scale,Silver Teal,#b8c4c2,,,borders light surfaces,"Borders on light surfaces, dividers"
mongodb,Neutral Scale,Light Input,#e8edeb,,,input text dark,Input text on dark surfaces
mongodb,Neutral Scale,Pure White,#ffffff,,,light section background,"Light section background, button text on dark"
mongodb,Neutral Scale,Black,#000000,,,text light surfaces,"Text on light surfaces, darkest elements"
mongodb,Shadows,Forest Shadow,,,,primary card elevation,Primary card elevation — teal-tinted
mongodb,Shadows,Standard Shadow,,,,general elevation,General elevation
mongodb,Shadows,Subtle Shadow,,,,light card lift,Light card lift
notion,Primary,Notion Black,#000000f2,,,primary text headings,"Primary text, headings, body copy. The 95% opacity softens pure black without sacrificing readability."
notion,Primary,Pure White,#ffffff,,,page background card,"Page background, card surfaces, button text on blue."
notion,Primary,Notion Blue,#0075de,,,primary cta link,"Primary CTA, link color, interactive accent -- the only saturated color in the core UI chrome."
notion,Brand Secondary,Deep Navy,#213183,,,secondary brand color,"Secondary brand color, used sparingly for emphasis and dark feature sections."
notion,Brand Secondary,Active Blue,#005bab,,,button active pressed,Button active/pressed state -- darker variant of Notion Blue.
notion,Warm Neutral Scale,Warm White,#f6f5f4,,,background surface tint,"Background surface tint, section alternation, subtle card fill. The yellow undertone is key."
notion,Warm Neutral Scale,Warm Dark,#31302e,,,dark surface background,"Dark surface background, dark section text. Warmer than standard grays."
notion,Warm Neutral Scale,Warm Gray 500,#615d59,,,secondary text descriptions,"Secondary text, descriptions, muted labels."
notion,Warm Neutral Scale,Warm Gray 300,#a39e98,,,placeholder text disabled,"Placeholder text, disabled states, caption text."
notion,Semantic Accent Colors,Teal,#2a9d99,,,success states positive,"Success states, positive indicators."
notion,Semantic Accent Colors,Green,#1aae39,,,confirmation completion badges,"Confirmation, completion badges."
notion,Semantic Accent Colors,Orange,#dd5b00,,,warning states attention,"Warning states, attention indicators."
notion,Semantic Accent Colors,Pink,#ff64c8,,,decorative accent feature,"Decorative accent, feature highlights."
notion,Semantic Accent Colors,Purple,#391c57,,,premium features deep,"Premium features, deep accents."
notion,Semantic Accent Colors,Brown,#523410,,,earthy accent warm,"Earthy accent, warm feature sections."
notion,Interactive,Link Blue,#0075de,,,primary link color,Primary link color with underline-on-hover.
notion,Interactive,Link Light Blue,#62aef0,,,lighter link variant,Lighter link variant for dark backgrounds.
notion,Interactive,Focus Blue,#097fe8,,,focus ring interactive,Focus ring on interactive elements.
notion,Interactive,Badge Blue Bg,#f2f9ff,,,pill badge background,"Pill badge background, tinted blue surface."
notion,Interactive,Badge Blue Text,#097fe8,,,pill badge text,"Pill badge text, darker blue for readability."
notion,Shadows & Depth,Card Shadow,,,,multi-layer card elevation,Multi-layer card elevation.
notion,Shadows & Depth,Deep Shadow,,,,five-layer deep elevation,Five-layer deep elevation for modals and featured content.
notion,Shadows & Depth,Whisper Border,,,,standard division border,"Standard division border -- cards, dividers, sections."
nvidia,Primary Brand,NVIDIA Green,#76b900,,,signature -- borders,"The signature -- borders, link underlines, CTA outlines, active indicators. Never used as large surface fills."
nvidia,Primary Brand,True Black,#000000,,,primary page background,"Primary page background, text on light surfaces, dominant tone."
nvidia,Primary Brand,Pure White,#ffffff,,,text dark backgrounds,"Text on dark backgrounds, light section backgrounds, card surfaces."
nvidia,Extended Brand Palette,NVIDIA Green Light,#bff230,,,bright lime accent,Bright lime accent for highlights and hover states.
nvidia,Extended Brand Palette,Orange 400,#df6500,,,warm accent alerts,"Warm accent for alerts, featured badges, or energy-related contexts."
nvidia,Extended Brand Palette,Yellow 300,#ef9100,,,secondary warm accent,"Secondary warm accent, product category highlights."
nvidia,Extended Brand Palette,Yellow 050,#feeeb2,,,light warm surface,Light warm surface for callout backgrounds.
nvidia,Status & Semantic,Red 500,#e52020,,,error states destructive,"Error states, destructive actions, critical alerts."
nvidia,Status & Semantic,Red 800,#650b0b,,,deep red severe,Deep red for severe warning backgrounds.
nvidia,Status & Semantic,Green 500,#3f8500,,,success states positive,"Success states, positive indicators (darker than brand green)."
nvidia,Status & Semantic,Blue 700,#0046a4,,,informational accents link,"Informational accents, link hover alternative."
nvidia,Decorative,Purple 800,#4d1368,,,deep purple gradient,"Deep purple for gradient ends, premium/AI contexts."
nvidia,Decorative,Purple 100,#f9d4ff,,,light purple surface,Light purple surface tint.
nvidia,Decorative,Fuchsia 700,#8c1c55,,,rich accent special,Rich accent for special promotions or featured content.
nvidia,Neutral Scale,Gray 300,#a7a7a7,,,muted text disabled,"Muted text, disabled labels."
nvidia,Neutral Scale,Gray 400,#898989,,,secondary text metadata,"Secondary text, metadata."
nvidia,Neutral Scale,Gray 500,#757575,,,tertiary text placeholders,"Tertiary text, placeholders, footers."
nvidia,Neutral Scale,Gray Border,#5e5e5e,,,subtle borders divider,"Subtle borders, divider lines."
nvidia,Neutral Scale,Near Black,#1a1a1a,,,dark surfaces card,"Dark surfaces, card backgrounds on black pages."
nvidia,Interactive States,Link Default (dark bg),#ffffff,,,white links dark,White links on dark backgrounds.
nvidia,Interactive States,Link Default (light bg),#000000,,,black links green,Black links with green underline on light backgrounds.
nvidia,Interactive States,Link Hover,#3860be,,,blue shift hover,Blue shift on hover across all link variants.
nvidia,Interactive States,Button Hover,#1eaedb,,,teal highlight button,Teal highlight for button hover states.
nvidia,Interactive States,Button Active,#007fff,,,bright blue active,Bright blue for active/pressed button states.
nvidia,Interactive States,Focus Ring,#000000,,,black outline keyboard,Black outline for keyboard focus.
nvidia,Shadows & Depth,Card Shadow,,,,subtle ambient shadow,Subtle ambient shadow for elevated cards.
ollama,Primary,Pure Black,#000000,,,primary headlines primary,"Primary headlines, primary links, and the darkest text. The only ""color"" that demands attention."
ollama,Primary,Near Black,#262626,,,button text light,"Button text on light surfaces, secondary headline weight."
ollama,Primary,Darkest Surface,#090909,,,darkest possible surface,"The darkest possible surface — barely distinguishable from pure black, used for footer or dark containers."
ollama,Surface & Background,Pure White,#ffffff,,,primary page background,"The primary page background — not off-white, not cream, pure white. Button surfaces for secondary actions."
ollama,Surface & Background,Snow,#fafafa,,,subtlest possible surface,The subtlest possible surface distinction from white — used for section backgrounds and barely-elevated containers.
ollama,Surface & Background,Light Gray,#e5e5e5,,,button backgrounds borders,"Button backgrounds, borders, and the primary containment color. The workhorse neutral."
ollama,Neutrals & Text,Stone,#737373,,,secondary body text,"Secondary body text, footer links, and de-emphasized content. The primary ""muted"" tone."
ollama,Neutrals & Text,Mid Gray,#525252,,,emphasized secondary text,"Emphasized secondary text, slightly darker than Stone."
ollama,Neutrals & Text,Silver,#a3a3a3,,,tertiary text placeholders,"Tertiary text, placeholders, and deeply de-emphasized metadata."
ollama,Neutrals & Text,Button Text Dark,#404040,,,specific white-surface button,Specific to white-surface button text.
ollama,Semantic & Accent,Ring Blue,#3b82f6,,,only non-gray color,"The ONLY non-gray color in the entire system — Tailwind's default focus ring, used exclusively for keyboard accessibility. Never visible in normal interaction flow."
ollama,Semantic & Accent,Border Light,#d4d4d4,,,slightly darker gray,A slightly darker gray for white-surface button borders.
ollama,Gradient System,None.,,,,ollama uses absolutely,"Ollama uses absolutely no gradients. Visual separation comes from flat color blocks and single-pixel borders. This is a deliberate, almost philosophical design choice."
opencode.ai,Primary,OpenCode Dark,#201d1d,,,primary background button,"Primary background, button fills, link text. A warm near-black with subtle reddish-brown warmth -- rgb(32, 29, 29)."
opencode.ai,Primary,OpenCode Light,#fdfcfc,,,primary text dark,"Primary text on dark surfaces, button text. A barely-warm off-white that avoids clinical pure white."
opencode.ai,Primary,Mid Gray,#9a9898,,,secondary text muted,"Secondary text, muted links. A neutral warm gray that bridges dark and light."
opencode.ai,Secondary,Dark Surface,#302c2c,,,slightly lighter than,"Slightly lighter than primary dark, used for elevated surfaces and subtle differentiation."
opencode.ai,Secondary,Border Gray,#646262,,,stronger borders outline,"Stronger borders, outline rings on interactive elements."
opencode.ai,Secondary,Light Surface,#f1eeee,,,light mode surface,"Light mode surface, subtle background variation."
opencode.ai,Accent,Accent Blue,#007aff,,,primary accent links,"Primary accent, links, interactive highlights. Apple system blue."
opencode.ai,Accent,Accent Blue Hover,#0056b3,,,darker blue hover,Darker blue for hover states.
opencode.ai,Accent,Accent Blue Active,#004085,,,deepest blue pressed,Deepest blue for pressed/active states.
opencode.ai,Semantic,Danger Red,#ff3b30,,,error states destructive,"Error states, destructive actions. Apple system red."
opencode.ai,Semantic,Danger Hover,#d70015,,,darker red hover,Darker red for hover on danger elements.
opencode.ai,Semantic,Danger Active,#a50011,,,deepest red pressed,Deepest red for pressed danger states.
opencode.ai,Semantic,Success Green,#30d158,,,success states positive,"Success states, positive feedback. Apple system green."
opencode.ai,Semantic,Warning Orange,#ff9f0a,,,warning states caution,"Warning states, caution signals. Apple system orange."
opencode.ai,Semantic,Warning Hover,#cc7f08,,,darker orange hover,Darker orange for hover on warning elements.
opencode.ai,Semantic,Warning Active,#995f06,,,deepest orange pressed,Deepest orange for pressed warning states.
opencode.ai,Text Scale,Text Muted,#6e6e73,,,muted labels disabled,"Muted labels, disabled text, placeholder content."
opencode.ai,Text Scale,Text Secondary,#424245,,,secondary text light,"Secondary text on light backgrounds, captions."
opencode.ai,Border,Border Warm,,,,primary border color,"Primary border color, warm transparent black with red tint."
opencode.ai,Border,Border Tab,#9a9898,,,tab underline border,"Tab underline border, 2px solid bottom."
opencode.ai,Border,Border Outline,#646262,,,px solid outline,1px solid outline border for containers.
pinterest,Primary Brand,Pinterest Red,#e60023,,,primary cta brand,"Primary CTA, brand accent — bold, confident red"
pinterest,Primary Brand,Green 700,#103c25,--base-color-green-700,,success nature accent,"`--base-color-green-700`, success/nature accent"
pinterest,Primary Brand,Green 700 Hover,#0b2819,--base-color-hover-green-700,,pressed green,"`--base-color-hover-green-700`, pressed green"
pinterest,Text,Plum Black,#211922,,,primary text warm,Primary text — warm near-black with plum undertone
pinterest,Text,Black,#000000,,,secondary text button,"Secondary text, button text"
pinterest,Text,Olive Gray,#62625b,,,secondary descriptions muted,"Secondary descriptions, muted text"
pinterest,Text,Warm Silver,#91918c,--comp-button-color-text-transparent-disabled,,disabled text input,"`--comp-button-color-text-transparent-disabled`, disabled text, input borders"
pinterest,Text,White,#ffffff,,,text dark colored,Text on dark/colored surfaces
pinterest,Interactive,Focus Blue,#435ee5,--comp-button-color-border-focus-outer-transparent,,focus rings,"`--comp-button-color-border-focus-outer-transparent`, focus rings"
pinterest,Interactive,Performance Purple,#6845ab,--sema-color-hover-icon-performance-plus,,performance features,"`--sema-color-hover-icon-performance-plus`, performance features"
pinterest,Interactive,Recommendation Purple,#7e238b,--sema-color-hover-text-recommendation,,ai recommendation,"`--sema-color-hover-text-recommendation`, AI recommendation"
pinterest,Interactive,Link Blue,#2b48d4,,,link text color,Link text color
pinterest,Interactive,Facebook Blue,#0866ff,--facebook-background-color,,social login,"`--facebook-background-color`, social login"
pinterest,Interactive,Pressed Blue,#617bff,--base-color-pressed-blue-200,,pressed state,"`--base-color-pressed-blue-200`, pressed state"
pinterest,Surface & Border,Sand Gray,#e5e5e0,,,secondary button background,"Secondary button background — warm, craft-like"
pinterest,Surface & Border,Warm Light,#e0e0d9,,,circular button backgrounds,"Circular button backgrounds, badges"
pinterest,Surface & Border,Warm Wash,,--comp-badge-color-background-wash-light,,subtle warm badge,"`--comp-badge-color-background-wash-light`, subtle warm badge bg"
pinterest,Surface & Border,Fog,#f6f6f3,,,light surface 50,Light surface (at 50% opacity)
pinterest,Surface & Border,Border Disabled,#c8c8c1,--sema-color-border-disabled,,disabled borders,"`--sema-color-border-disabled`, disabled borders"
pinterest,Surface & Border,Hover Gray,#bcbcb3,--base-color-hover-grayscale-150,,hover border,"`--base-color-hover-grayscale-150`, hover border"
pinterest,Surface & Border,Dark Surface,#33332e,,,dark section backgrounds,Dark section backgrounds
pinterest,Semantic,Error Red,#9e0a0a,,,checkbox form error,Checkbox/form error states
posthog,Primary,Olive Ink,#4d4f46,,,primary text color,"Primary text color — a distinctive olive-gray that gives all text a warm, earthy tone"
posthog,Primary,Deep Olive,#23251d,,,link text high-emphasis,Link text and high-emphasis headings — near-black with green undertone
posthog,Primary,PostHog Orange,#f54e00,,,hidden brand accent,"Hidden brand accent — appears only on hover states, a vibrant orange that surprises"
posthog,Secondary & Accent,Amber Gold,#f7a501,,,secondary hover accent,Secondary hover accent on dark buttons — warm gold that pairs with the orange
posthog,Secondary & Accent,Gold Border,#b17816,,,special button borders,Special button borders — an amber-gold for featured CTAs
posthog,Secondary & Accent,Focus Blue,#3b82f6,,,focus ring color,"Focus ring color (Tailwind default) — the only blue in the system, reserved for accessibility"
posthog,Surface & Background,Warm Parchment,#fdfdf8,,,primary page background,Primary page background — warm near-white with yellow-green undertone
posthog,Surface & Background,Sage Cream,#eeefe9,,,input backgrounds secondary,"Input backgrounds, secondary surfaces — light sage tint"
posthog,Surface & Background,Light Sage,#e5e7e0,,,button backgrounds tertiary,"Button backgrounds, tertiary surfaces — muted sage-green"
posthog,Surface & Background,Warm Tan,#d4c9b8,,,featured button backgrounds,Featured button backgrounds — warm tan/khaki for emphasis
posthog,Surface & Background,Hover White,#f4f4f4,,,universal hover background,Universal hover background state
posthog,Neutrals & Text,Olive Ink,#4d4f46,,,primary body ui,Primary body and UI text
posthog,Neutrals & Text,Muted Olive,#65675e,,,secondary text button,"Secondary text, button labels on light backgrounds"
